# Time-averaged data for fix myavt
# TimeStep c_mymsd[4]
1000 9.1477
2000 28.0898
3000 46.87
4000 65.9369
5000 85.8873
6000 104.711
7000 123.18
8000 142.921
9000 162.939
10000 182.149
11000 202.347
12000 223.3
13000 243.415
14000 263.079
15000 282.066
16000 303.351
17000 323.065
18000 343.93
19000 364.432
20000 382.707
21000 403.361
22000 423.996
23000 444.202
24000 464.565
25000 483.455
26000 502.419
27000 521.686
28000 542.589
29000 563.14
30000 583.064
31000 604.344
32000 624.835
33000 646.51
34000 666.59
35000 687.262
36000 709.905
37000 730.13
38000 752.216
39000 775.116
40000 797.223
41000 818.527
42000 841.437
43000 860.394
44000 880.314
45000 902.14
46000 923.567
47000 943.611
48000 963.469
49000 985.089
50000 1008.29
