# Time-averaged data for fix myavt
# TimeStep c_mymsd[4]
0 2.25878e-33
5000 205.275
10000 408.496
15000 616.263
20000 822.486
25000 1051.58
30000 1271.35
35000 1502.57
40000 1749.04
45000 1985.02
50000 2228.33
55000 2484.07
60000 2741.05
65000 3000.35
70000 3254.74
75000 3518.93
80000 3789.3
85000 4067.15
90000 4338.76
95000 4618.29
100000 4911.51
105000 5207.54
110000 5510.03
115000 5812.29
120000 6125.76
125000 6437.83
130000 6761.17
135000 7069.7
140000 7396.11
145000 7716.13
150000 8047.7
155000 8400.95
160000 8743.97
165000 9106.59
170000 9452.98
175000 9802.12
180000 10167.3
185000 10510.8
190000 10876.5
195000 11241.9
200000 11618.7
205000 12011.8
210000 12393.1
215000 12786.3
220000 13179.3
225000 13589.4
230000 14004.3
235000 14388
240000 14810.1
245000 15212
250000 15630.9
255000 16068.6
260000 16485.6
265000 16899.8
270000 17346.1
275000 17757.1
280000 18182.6
285000 18640.9
290000 19097.3
295000 19555.2
300000 20029.2
305000 20512.5
310000 20981.3
315000 21451
320000 21939
325000 22438
330000 22945
335000 23443.5
340000 23943.1
345000 24441.5
350000 24957.3
355000 25475.1
360000 25992.9
365000 26496.3
370000 26992.3
375000 27530.9
380000 28070.3
385000 28589.7
390000 29114.2
395000 29681.4
400000 30237
405000 30802
410000 31338.2
415000 31916.1
420000 32497.2
425000 33057.9
430000 33648.6
435000 34266.6
440000 34862.3
445000 35484.2
450000 36082.4
455000 36709.1
460000 37306.9
465000 37894.3
470000 38518.6
475000 39143.6
480000 39795.1
485000 40459.5
490000 41095.3
495000 41701.3
500000 42332.9
505000 42988.8
510000 43662.8
